kegg1,kegg2,smiles1,smiles2,mass1,mass2,formula1,formula2
C05895,C17542,C[C@@H](C(=O)N[C@H](CCC(=O)N[C@@H](CCCCNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)O)C(=O)N)NC(=O)[C@@H](C)O[C@@H]1[C@H]([C@H](O[C@@H]([C@H]1O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)NC(=O)C)CO)OP(=O)(O)OP(=O)(O)OC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)NC(=O)C,C[C@@H](C(=O)N[C@H](CCC(=O)N[C@@H](CCCCNC(=O)CNC(=O)CNC(=O)CN)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)O)C(=O)N)NC(=O)[C@@H](C)O[C@@H]1[C@H]([C@H](O[C@@H]([C@H]1O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)NC(=O)C)CO)OP(=O)(O)OP(=O)(O)OC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)NC(=O)C,2159.1839,2045.141,C104H172N14O30P2,C100H166N12O28P2
C17541,C17542,C[C@@H](C(=O)N[C@H](CCC(=O)N[C@@H](CCCCNC(=O)CN)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)O)C(=O)N)NC(=O)[C@@H](C)O[C@@H]1[C@H]([C@H](O[C@@H]([C@H]1O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)NC(=O)C)CO)OP(=O)(O)OP(=O)(O)OC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)NC(=O)C,C[C@@H](C(=O)N[C@H](CCC(=O)N[C@@H](CCCCNC(=O)CNC(=O)CNC(=O)CN)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)O)C(=O)N)NC(=O)[C@@H](C)O[C@@H]1[C@H]([C@H](O[C@@H]([C@H]1O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)NC(=O)C)CO)OP(=O)(O)OP(=O)(O)OC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)NC(=O)C,1931.098,2045.141,C96H160N10O26P2,C100H166N12O28P2
C04121,C19876,C1[C@H]([C@H]([C@H](O[C@@]1(C(=O)O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=NC3=O)N)O)O)[C@@H](CO)O)O)O,CCCCCCCCCCC[C@H](CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)(O)O)CO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO[C@@]3(C[C@H]([C@H]([C@H](O3)[C@@H](CO)O)O)O[C@@]4(C[C@H]([C@H]([C@H](O4)[C@@H](CO[C@@]5(C[C@H]([C@H]([C@H](O5)[C@@H](CO)O)O)O)C(=O)O)O)O)O[C@@]6(C[C@H]([C@H]([C@H](O6)[C@@H](CO)O)O)O)C(=O)O)C(=O)O)C(=O)O)OP(=O)(O)O)OC(=O)C[C@@H](CCCCCCCCCCC)O)NC(=O)C[C@@H](CCCCCCCCCCC)O)O)OC(=O)C[C@@H](CCCCCCCCCCC)O)O,543.1102,2285.0872,C17H26N3O15P,C100H178N2O51P2
C19875,C19876,CCCCCCCCCCC[C@H](CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)(O)O)CO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO[C@@]3(C[C@H]([C@H]([C@H](O3)[C@@H](CO)O)O)O[C@@]4(C[C@H]([C@H]([C@H](O4)[C@@H](CO[C@@]5(C[C@H]([C@H]([C@H](O5)[C@@H](CO)O)O)O)C(=O)O)O)O)O)C(=O)O)C(=O)O)OP(=O)(O)O)OC(=O)C[C@@H](CCCCCCCCCCC)O)NC(=O)C[C@@H](CCCCCCCCCCC)O)O)OC(=O)C[C@@H](CCCCCCCCCCC)O)O,CCCCCCCCCCC[C@H](CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)(O)O)CO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO[C@@]3(C[C@H]([C@H]([C@H](O3)[C@@H](CO)O)O)O[C@@]4(C[C@H]([C@H]([C@H](O4)[C@@H](CO[C@@]5(C[C@H]([C@H]([C@H](O5)[C@@H](CO)O)O)O)C(=O)O)O)O)O[C@@]6(C[C@H]([C@H]([C@H](O6)[C@@H](CO)O)O)O)C(=O)O)C(=O)O)C(=O)O)OP(=O)(O)O)OC(=O)C[C@@H](CCCCCCCCCCC)O)NC(=O)C[C@@H](CCCCCCCCCCC)O)O)OC(=O)C[C@@H](CCCCCCCCCCC)O)O,2065.0289,2285.0872,C92H166N2O44P2,C100H178N2O51P2
C00637,C02937,C1=CC=C2C(=C1)C(=CN2)CC=O,C1=CC=C2C(=C1)C(=CN2)C/C=N/O,159.0684,174.0793,C10H9NO,C10H10N2O
C00954,C02693,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,C1=CC=C2C(=C1)C(=CN2)CC(=O)N,175.0633,174.0793,C10H9NO2,C10H10N2O
C00078,C02693,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,C1=CC=C2C(=C1)C(=CN2)CC(=O)N,204.0899,174.0793,C11H12N2O2,C10H10N2O
C00078,C02937,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,C1=CC=C2C(=C1)C(=CN2)C/C=N/O,204.0899,174.0793,C11H12N2O2,C10H10N2O
C02937,C17204,C1=CC=C2C(=C1)C(=CN2)C/C=N/O,C1=CC=C2C(=C1)C(=CN2)C/C=[N+](/O)\[O-],174.0793,190.0742,C10H10N2O,C10H10N2O2
C16518,C17204,C1=CC=C2C(=C1)C(=CN2)C/C(=N/O)/SC[C@@H](C(=O)O)N,C1=CC=C2C(=C1)C(=CN2)C/C=[N+](/O)\[O-],293.0834,190.0742,C13H15N3O3S,C10H10N2O2
