kegg,smiles,mass,formula,pubchem,chebi
C00002,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,506.9957,C10H16N5O13P3,5957,CHEBI:15422
C00003,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)O)O)O)O)C(=O)N,664.1169,C21H28N7O14P2,5893,CHEBI:15846
C00004,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)O)O)O)O,665.1248,C21H29N7O14P2,439153,CHEBI:16908
C00005,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)OP(=O)(O)O)O)O)O,745.0911,C21H30N7O17P3,5884,CHEBI:16474
C00006,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)OP(=O)(O)O)O)O)O)C(=O)N,744.0833,C21H29N7O17P3,5886,CHEBI:18009
C00008,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O,427.0294,C10H15N5O10P2,6022,CHEBI:16761
C00010,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O,767.1152,C21H36N7O16P3S,87642,CHEBI:15346
C00016,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=NC6=C5N=CN=C6N)O)O)O)O)O,785.1571,C27H33N9O15P2,643975,CHEBI:16238
C00018,CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O,247.0246,C8H10NO6P,1051,CHEBI:18405
C00019,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,398.1372,C15H22N6O5S,34755,CHEBI:67040
C00021,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CSCC[C@@H](C(=O)O)N)O)O,384.1216,C14H20N6O5S,25246222,CHEBI:16680
C00022,CC(=O)C(=O)O,88.016,C3H4O3,1060,CHEBI:32816
C00024,CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,809.1258,C23H38N7O17P3S,444493,CHEBI:15351
C00026,C(CC(=O)O)C(=O)C(=O)O,146.0215,C5H6O5,51,CHEBI:30915
C00029,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,566.055,C15H24N2O17P2,8629,CHEBI:46229
C00037,C(C(=O)O)N,75.032,C2H5NO2,5257127,CHEBI:15428
C00042,C(CC(=O)O)C(=O)O,118.0266,C4H6O4,1110,CHEBI:15741
C00043,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)CO)O)O,607.0816,C17H27N3O17P2,445675,NA
C00047,C(CCN)C[C@@H](C(=O)O)N,146.1055,C6H14N2O2,5962,CHEBI:18019
C00049,C([C@@H](C(=O)O)N)C(=O)O,133.0375,C4H7NO4,44367445,CHEBI:17053
C00051,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,307.0838,C10H17N3O6S,124886,CHEBI:16856
C00052,C1=CN(C(=O)NC1=O)C2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)O)O,566.055,C15H24N2O17P2,23724458,NA
C00054,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)OP(=O)(O)O)O,427.0294,C10H15N5O10P2,159296,CHEBI:17985
C00055,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O,323.0519,C9H14N3O8P,6131,CHEBI:17361
C00061,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O,456.1046,C17H21N4O9P,643976,CHEBI:17621
C00062,C(C[C@@H](C(=O)O)N)CN=C(N)N,174.1117,C6H14N4O2,28782,CHEBI:16467
C00063,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,482.9845,C9H16N3O14P3,6176,CHEBI:17677
C00064,C(CC(=O)N)[C@@H](C(=O)O)N,146.0691,C5H10N2O3,5961,CHEBI:18050
C00065,C([C@@H](C(=O)O)N)O,105.0426,C3H7NO3,5951,CHEBI:17115
C00068,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)O,425.045,C12H19N4O7P2S,1132,NA
C00072,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,176.0321,C6H8O6,54670067,CHEBI:29073
C00073,CSCC[C@@H](C(=O)O)N,149.051,C5H11NO2S,6137,CHEBI:16643
C00074,C=C(C(=O)O)OP(=O)(O)O,167.9824,C3H5O6P,1005,NA
C00075,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,483.9685,C9H15N2O15P3,6133,CHEBI:15713
C00078,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,204.0899,C11H12N2O2,6305,CHEBI:16828
C00079,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,165.079,C9H11NO2,6140,CHEBI:17295
C00082,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,181.0739,C9H11NO3,6057,CHEBI:17895
C00083,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CC(=O)O)O,853.1156,C24H38N7O19P3S,644066,CHEBI:15531
C00085,C([C@@H]1[C@H]([C@@H](C(O1)(CO)O)O)O)OP(=O)(O)O,260.0297,C6H13O9P,439160,CHEBI:61553
C00086,C(=O)(N)N,60.0324,CH4N2O,1176,CHEBI:16199
C00089,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O,342.1162,C12H22O11,5988,CHEBI:17992
C00090,C1=CC=C(C(=C1)O)O,110.0368,C6H6O2,289,CHEBI:18135
C00091,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O)O,867.1313,C25H40N7O19P3S,92133,CHEBI:15380
C00093,C([C@H](COP(=O)(O)O)O)O,172.0137,C3H9O6P,439162,CHEBI:15978
C00097,C([C@@H](C(=O)O)N)S,121.0197,C3H7NO2S,5862,CHEBI:17561
C00099,C(CN)C(=O)O,89.0477,C3H7NO2,239,CHEBI:16958
C00100,CCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,823.1414,C24H40N7O17P3S,92753,CHEBI:15450
