kegg1,kegg2,smiles1,smiles2,mass1,mass2,formula1,formula2
C01717,C07658,C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,189.0426,250.0524,C10H7NO3,C10H10N4O2S
C00004,C07658,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)O)O)O)O,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,665.1248,250.0524,C21H29N7O14P2,C10H10N4O2S
C01176,C07658,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,330.2195,250.0524,C21H30O3,C10H10N4O2S
C01551,C07658,C1(C(=O)NC(=O)N1)NC(=O)N,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,158.044,250.0524,C4H6N4O3,C10H10N4O2S
C00263,C07658,C(CO)[C@@H](C(=O)O)N,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,119.0582,250.0524,C4H9NO3,C10H10N4O2S
C00366,C07658,C12=C(NC(=O)N1)NC(=O)NC2=O,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,168.0283,250.0524,C5H4N4O3,C10H10N4O2S
C00371,C10470,C/C(=C\CNC1=NC=NC2=C1NC=N2)/CO,COC1=C(C=C(C=C1)/C=C/C(=O)O)O,219.112,194.0579,C10H13N5O,C10H10O4
C01312,C10470,CCCCC[C@@H](/C=C/[C@H]1[C@@H](C[C@H]2[C@@H]1CC(=CCCCC(=O)O)O2)O)O,COC1=C(C=C(C=C1)/C=C/C(=O)O)O,352.225,194.0579,C20H32O5,C10H10O4
C00957,C10470,C(C(=O)C(=O)O)S,COC1=C(C=C(C=C1)/C=C/C(=O)O)O,119.9881,194.0579,C3H4O3S,C10H10O4
C02502,C01494,C1=CC(=O)NC=C1,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,95.0371,194.0579,C5H5NO,C10H10O4
C01216,C10470,C([C@H]([C@@H](CO)O)O)C(=O)C(=O)O,COC1=C(C=C(C=C1)/C=C/C(=O)O)O,178.0477,194.0579,C6H10O6,C10H10O4
C01040,C01494,C([C@@H]([C@@H]1[C@@H]([C@@H](C(=O)O1)O)O)O)O,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,178.0477,194.0579,C6H10O6,C10H10O4
C05422,C10470,C([C@@H]([C@@H]1C(=O)C(=O)C(=O)O1)O)O,COC1=C(C=C(C=C1)/C=C/C(=O)O)O,174.0164,194.0579,C6H6O6,C10H10O4
C06949,C01494,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,229.9917,194.0579,C8H7ClN2O2S,C10H10O4
C00386,C01494,C1=C(NC=N1)C[C@@H](C(=O)O)NC(=O)CCN,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,226.1066,194.0579,C9H14N4O3,C10H10O4
C07819,C00251,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O,C=C(C(=O)O)O[C@@H]1C=C(C=C[C@H]1O)C(=O)O,254.1015,226.0477,C10H14N4O4,C10H10O6
C00440,C00251,CN1[C@H](CNC2=C1C(=O)N=C(N2)N)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,C=C(C(=O)O)O[C@@H]1C=C(C=C[C@H]1O)C(=O)O,459.1866,226.0477,C20H25N7O6,C10H10O6
C10237,C00251,C1[C@H]([C@H](OC2=C3[C@@H]4[C@H]([C@@](OC5=CC(=CC(=C45)O)O)(OC3=CC(=C21)O)C6=CC(=C(C=C6)O)O)O)C7=CC(=C(C=C7)O)O)O,C=C(C(=O)O)O[C@@H]1C=C(C=C[C@H]1O)C(=O)O,576.1268,226.0477,C30H24O12,C10H10O6
C00111,C00251,C(C(=O)COP(=O)(O)O)O,C=C(C(=O)O)O[C@@H]1C=C(C=C[C@H]1O)C(=O)O,169.998,226.0477,C3H7O6P,C10H10O6
C00265,C00251,C([C@@H]([C@H](CS)O)O)S,C=C(C(=O)O)O[C@@H]1C=C(C=C[C@H]1O)C(=O)O,154.0122,226.0477,C4H10O2S2,C10H10O6
C01182,C00251,C([C@H]([C@H](C(=O)COP(=O)(O)O)O)O)OP(=O)(O)O,C=C(C(=O)O)O[C@@H]1C=C(C=C[C@H]1O)C(=O)O,309.9855,226.0477,C5H12O11P2,C10H10O6
C00385,C00251,C1=NC2=C(N1)C(=O)NC(=O)N2,C=C(C(=O)O)O[C@@H]1C=C(C=C[C@H]1O)C(=O)O,152.0334,226.0477,C5H4N4O2,C10H10O6
C01933,C00251,CCCC[C@@H](C(=O)O)N,C=C(C(=O)O)O[C@@H]1C=C(C=C[C@H]1O)C(=O)O,131.0946,226.0477,C6H13NO2,C10H10O6
C02057,C00251,C1=CC=C(C=C1)CC(C(=O)O)N,C=C(C(=O)O)O[C@@H]1C=C(C=C[C@H]1O)C(=O)O,165.079,226.0477,C9H11NO2,C10H10O6
C05570,C00251,C[N+](C)(C)[C@@H](CC1=CNC(=S)N1)C(=O)O,C=C(C(=O)O)O[C@@H]1C=C(C=C[C@H]1O)C(=O)O,230.0963,226.0477,C9H16N3O2S,C10H10O6
C00243,C07315,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O)O)O)CO)O)O)O)O,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,342.1162,253.0521,C12H22O11,C10H11N3O3S
C05028,C07315,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,298.1933,253.0521,C20H26O2,C10H11N3O3S
